variant,model_seed,episode,cost,rolling_cost,immediate_cost,penalty,energy_use,latency_ms,thermal_violation,energy_violation,queue_violation,contact_violation,epsilon,loss,td_loss,auxiliary_loss,preview_transition_scale
centered_full_action_dqn,804,0,102.54102388173342,102.54102388173342,37.1846062913537,65.35641811192036,1.6700958274304867,21854.870635986328,0.0,28.0,0.0,1.0,0.9954761904761905,,,,0.85
centered_full_action_dqn,804,1,135.7014504795294,119.12123718063141,49.860944442451,85.84050583591271,1.8916012682020664,28299.3627243042,0.0,33.0,8.0,0.0,0.9909523809523809,1.398453950881958,1.385895848274231,0.04186021536588669,0.85
centered_full_action_dqn,804,2,144.96874472814537,127.73707302980273,41.036074705421925,103.93266997801993,1.8288539573550224,24834.190410614014,0.0,36.0,16.0,3.0,0.9864285714285714,1.2725274786353111,1.2611103728413582,0.03805701318196952,0.85
centered_full_action_dqn,804,3,104.76972007006407,121.99523478986806,37.92567094415426,66.84404927492142,1.7181259486824274,22753.20686340332,0.0,29.0,0.0,0.0,0.981904761904762,1.2449586242437363,1.2349028587341309,0.033519245218485594,0.85
centered_full_action_dqn,804,4,119.0563952455944,121.40746688101333,42.89281156659126,76.16358384291591,1.8574140332639217,25813.357166290283,0.0,32.0,3.0,1.0,0.9773809523809524,1.0303899981081486,1.02132872864604,0.030204216251149774,0.85
centered_full_action_dqn,804,5,120.97629781067371,121.33560536929006,45.22009341418743,75.7562048882246,1.8267131950706244,26093.26286315918,0.0,32.0,0.0,0.0,0.9728571428571429,0.8203708156943321,0.8142057843506336,0.020550090819597244,0.85
centered_full_action_dqn,804,6,175.98993180967568,129.14336628934515,41.66635140776634,134.32358043171163,1.9030526848509908,26051.18511199951,0.0,35.0,27.0,2.0,0.9683333333333334,0.7172538749873638,0.7148778140544891,0.007920208969153464,0.85
centered_full_action_dqn,804,7,132.57860512627803,129.57277114396175,40.96474523842335,91.61386063291273,1.8856733897700906,24515.275520324707,0.0,36.0,9.0,2.0,0.9638095238095238,0.8267241939902306,0.8212545849382877,0.01823205081745982,0.85
centered_full_action_dqn,804,8,103.22195798158646,126.64490301480893,37.09590847790241,66.12604942917824,1.6972572207450867,22027.44785308838,0.0,27.0,0.0,0.0,0.9592857142857143,0.9027664735913277,0.8939438425004482,0.02940875373315066,0.85
centered_full_action_dqn,804,9,134.80070236956112,127.46048295028416,40.32392178475857,94.47678073381415,1.8037229496985674,24142.20859527588,0.0,31.0,17.0,1.0,0.9547619047619048,0.6568916030228138,0.6542624942958355,0.008763715537497774,0.85
centered_full_action_dqn,804,10,106.1468874514103,125.52288335947743,37.326152846217155,68.82073418796062,1.7275836579501629,22192.505828857422,0.0,31.0,0.0,0.0,0.9502380952380952,0.5003317911177874,0.49786580726504326,0.008219950512284413,0.85
centered_full_action_dqn,804,11,166.55779540088628,128.9424593629282,46.80905820429325,119.74873728599998,1.8777787303552032,27318.713485717773,0.0,35.0,25.0,0.0,0.9457142857142857,0.36674024909734726,0.3642682917416096,0.00823985124588944,0.85
centered_full_action_dqn,804,12,144.5476035042007,130.14285506610298,41.59480665624142,102.95279726519178,1.8473508218303323,25302.761489868164,0.0,32.0,22.0,0.0,0.9411904761904761,0.28179818857461214,0.2798979626968503,0.006334083620458841,0.85
centered_full_action_dqn,804,13,115.3434673845768,129.08575594599398,38.83196587860584,76.51150134205818,1.7425917200744152,23414.5633392334,0.0,31.0,0.0,0.0,0.9366666666666666,0.22650442831218243,0.22454558592289686,0.006529482459882274,0.85
