variant,model_seed,episode,cost,rolling_cost,immediate_cost,penalty,energy_use,latency_ms,thermal_violation,energy_violation,queue_violation,contact_violation,epsilon,loss,td_loss,auxiliary_loss
centered_full_action_dqn,819,0,114.77258965495983,114.77258965495983,38.11424466967583,76.6583451044933,1.7237367210909724,22679.978839874268,0.0,32.0,8.0,0.0,0.9954761904761905,,,
centered_full_action_dqn,819,1,167.79830180177632,141.28544572836807,43.902254953980446,123.89604708621451,1.9494940163567662,26790.23117828369,0.0,35.0,17.0,1.0,0.9909523809523809,1.7452051639556885,1.7291582822799683,0.053489696234464645
centered_full_action_dqn,819,2,176.93558998357983,153.16882714677197,49.51484543085098,127.42074437391486,1.961866781115532,28494.74429321289,0.0,39.0,24.0,2.0,0.9864285714285714,1.6128693893551826,1.5981380641460419,0.04910442163236439
centered_full_action_dqn,819,3,133.42014458799235,148.23165650707708,42.77797119319439,90.64217363321654,1.8775767302140594,25275.914222717285,0.0,37.0,19.0,0.0,0.981904761904762,1.63855592161417,1.6271312162280083,0.03808235772885382
centered_full_action_dqn,819,4,221.74208458386778,162.9337421224352,49.21755740791559,172.52452708654522,1.997880450449884,29175.229930877686,0.0,38.0,36.0,2.0,0.9773809523809524,1.4865751415491104,1.4775154814124107,0.030198801890946925
centered_full_action_dqn,819,5,104.49715030342341,153.1943101525999,38.71932779997587,65.77782241404057,1.6742852302268147,22562.329414367676,0.0,30.0,0.0,1.0,0.9728571428571429,1.3252841159701347,1.3173874840140343,0.026322113000787795
centered_full_action_dqn,819,6,99.54679314792156,145.53037915193156,37.004378989338875,62.542414367198944,1.6384791461750865,21341.63334274292,0.0,28.0,0.0,1.0,0.9683333333333334,1.0427536182105541,1.0360511392354965,0.022341570584103465
centered_full_action_dqn,819,7,157.54560159188446,147.03228195692571,45.59852568805218,111.94707620185548,1.9033552454784513,27173.98268890381,0.0,31.0,19.0,4.0,0.9638095238095238,1.0364072509109974,1.032258689403534,0.0138285550638102
centered_full_action_dqn,819,8,151.05396343804253,147.47913545482757,44.74227225780487,106.3116909716214,1.90385933034122,26884.070114135742,0.0,35.0,24.0,0.0,0.9592857142857143,1.1078717820346355,1.1022524982690811,0.018730909621808678
centered_full_action_dqn,819,9,122.09490866363049,144.94071277570788,43.365278735756874,78.72962906360627,1.7827015733346343,25269.272315979004,0.0,33.0,0.0,1.0,0.9547619047619048,0.8764954060316086,0.8716979324817657,0.01599159458419308
centered_full_action_dqn,819,10,165.89390405469874,146.84554834652525,44.57043765485287,121.32346625083429,1.915673683397472,26479.53062057495,0.0,36.0,25.0,2.0,0.9502380952380952,0.6673897616565228,0.6627101041376591,0.015598882630001754
centered_full_action_dqn,819,11,109.05214331448079,143.69609792718822,39.14966240525246,69.90248049199582,1.7131693409755826,22598.233459472656,0.0,29.0,0.0,1.0,0.9457142857142857,0.5243116915225983,0.5191557370126247,0.017186518176458776
centered_full_action_dqn,819,12,116.44905721247196,141.60017171836387,40.54419615864754,75.90486099421977,1.7814262118190527,23467.26005935669,0.0,32.0,0.0,4.0,0.9411904761904761,0.3990343473851681,0.395315682515502,0.012395560159347951
centered_full_action_dqn,819,13,106.20968043953181,139.07227948416158,37.40739540010691,68.80228500962258,1.6684471145272255,21642.06880569458,0.0,29.0,0.0,3.0,0.9366666666666666,0.320646358653903,0.3173667937517166,0.010931882658042014
centered_full_action_dqn,819,14,243.25744596249166,146.01795724938358,42.16215705871582,201.09528890377584,2.046868641860783,27114.614517211914,0.0,41.0,42.0,1.0,0.9321428571428572,0.3235611878335476,0.32033324241638184,0.01075982116162777
centered_full_action_dqn,819,15,195.66869553316695,149.12112839212,43.680429674685,151.98826544124944,1.9556193333119154,27195.223793029785,0.0,35.0,23.0,2.0,0.9276190476190476,0.6919136550277472,0.6883876044303179,0.011753509170375764
centered_full_action_dqn,819,16,119.60045093297958,147.38461795334703,42.47253638505936,77.12791457772255,1.7702016802504659,24128.021518707275,0.0,32.0,0.0,1.0,0.9230952380952381,0.7729892060160637,0.7672176472842693,0.019238531589508057
centered_full_action_dqn,819,17,111.88623652607203,145.41248565183176,39.38945432752371,72.49678261578083,1.7695418344810605,23354.860622406006,0.0,31.0,0.0,1.0,0.9185714285714286,0.518401313573122,0.5139678828418255,0.014778086566366255
centered_full_action_dqn,819,18,152.64669713003303,145.79323362436867,42.18357336521149,110.46312372011809,1.8764747148379683,25350.111598968506,0.0,35.0,22.0,1.0,0.914047619047619,0.35796184465289116,0.3542399909347296,0.012406185385771096
centered_full_action_dqn,819,19,146.5832879749739,145.8327363418989,45.05956619977951,101.52372186460137,1.867989744991064,26384.26402282715,0.0,36.0,16.0,2.0,0.9095238095238095,0.35615614615380764,0.35268064588308334,0.011585008760448545
centered_full_action_dqn,819,20,158.00090574595419,147.99415214644867,44.04421637952328,113.95668991777389,1.9681555451825261,26799.57375717163,0.0,33.0,19.0,1.0,0.905,0.3110818210989237,0.30740490928292274,0.012256377609446645
centered_full_action_dqn,819,21,108.59265234321356,145.0338696735205,37.572327829897404,71.02032451331615,1.6817180523648858,21879.2915725708,0.0,30.0,0.0,1.0,0.9004761904761904,0.2924441182985902,0.28917186241596937,0.010907530493568629
centered_full_action_dqn,819,22,139.5562998220216,143.1649051654426,41.9525528550148,97.6037469670068,1.8284412641078234,24568.52271270752,0.0,39.0,21.0,1.0,0.895952380952381,0.2563254861161113,0.2530235378071666,0.011006487475242466
centered_full_action_dqn,819,23,131.30777190046857,143.05928653106645,43.79653465747833,87.51123701947282,1.8290519062429667,25155.825004577637,0.0,33.0,17.0,0.0,0.8914285714285715,0.6984025649726391,0.6946854973211884,0.012390218675136566
centered_full_action_dqn,819,24,120.44839285314083,137.99460194453007,41.732674077153206,78.7157190144062,1.772436118684709,24326.8549785614,0.0,33.0,0.0,0.0,0.8869047619047619,0.6464950200170279,0.6419268846511841,0.015227085852529854
centered_full_action_dqn,819,25,106.34970110654831,138.08722948468633,39.36986465752125,66.97983638942242,1.6970192855224013,22559.700384140015,0.0,30.0,0.0,0.0,0.8823809523809524,0.3790120203047991,0.37413898296654224,0.01624345750315115
centered_full_action_dqn,819,26,116.04584677517414,138.91218216604895,39.58845740556717,76.45738935470581,1.689353403635323,22585.482223510742,0.0,31.0,0.0,1.0,0.8778571428571429,0.40104089956730604,0.3967782501131296,0.01420882681850344
centered_full_action_dqn,819,27,173.1443337976775,139.6921187763386,42.745354890823364,130.39897874294138,1.9307644739747047,25798.38680267334,0.0,38.0,34.0,0.0,0.8733333333333333,0.38131233863532543,0.37668524868786335,0.015423629432916641
centered_full_action_dqn,819,28,120.5199387907982,138.1654175439764,40.33401840925217,80.18592082858086,1.745851376093924,22901.487789154053,0.0,35.0,0.0,1.0,0.8688095238095238,0.34281431417912245,0.33859119564294815,0.014077064173761755
centered_full_action_dqn,819,29,110.89298070371152,137.60532114598044,38.58093947172165,72.31204176843167,1.7529134098440409,22601.650846481323,0.0,31.0,0.0,2.0,0.8642857142857143,0.2907760087400675,0.28672752249985933,0.013494952756445855
centered_full_action_dqn,819,30,112.6265436410904,134.94195312530002,36.94930675625801,75.67723731696606,1.7529570125043392,21685.94538116455,0.0,32.0,0.0,1.0,0.8597619047619047,0.2926294878125191,0.28856877610087395,0.013535718782804906
centered_full_action_dqn,819,31,95.62967240065336,134.27082957960866,35.56398691982031,60.065685495734215,1.6269141659140587,20682.83204269409,0.0,28.0,0.0,0.0,0.8552380952380952,0.8381327539682388,0.8324930053204298,0.018799170036800206
